NumFeature;TrainingAccuracy;ValidationAccuracy
1;0.1398;0.1398
2;0.2737;0.2712
3;0.2749;0.2735
4;0.4023;0.3981
5;0.4241;0.4142
6;0.4122;0.4062
7;0.4809;0.4729
8;0.4675;0.4623
9;0.5015;0.4906
9;test;0.4771
