NumFeature;TrainingAccuracy;ValidationAccuracy
1;0.5075;0.5018
2;0.6422;0.6339
3;0.677;0.6722
4;0.7104;0.7015
5;0.7313;0.7237
6;0.7959;0.7855
7;0.8454;0.8316
8;0.8847;0.8665
9;0.8994;0.8814
9;test;0.8705
