NumFeature;TrainingAccuracy;ValidationAccuracy
1;0.4516;0.4496
2;0.5487;0.5473
3;0.6605;0.6543
4;0.6802;0.6769
5;0.6909;0.6867
6;0.7759;0.7692
7;0.8528;0.8485
8;0.9116;0.904
9;0.9296;0.9233
9;test;0.8986
