NumFeature;TrainingAccuracy;ValidationAccuracy
1;0.4828;0.4778
2;0.595;0.5924
3;0.6652;0.6588
4;0.6976;0.6943
5;0.7348;0.7324
6;0.7667;0.7607
7;0.7747;0.7694
8;0.8107;0.8016
9;0.8279;0.8171
9;test;0.8111
