NumFeature;TrainingAccuracy;ValidationAccuracy
1;0.4455;0.4397
2;0.5266;0.5173
3;0.6452;0.6413
4;0.6792;0.6731
5;0.688;0.685
6;0.7809;0.7756
7;0.8625;0.8547
8;0.9182;0.9124
9;0.9388;0.9329
9;test;0.9045
