NumFeature;TrainingAccuracy;ValidationAccuracy
1;0.4403;0.436
2;0.5543;0.5523
3;0.672;0.6685
4;0.6938;0.6884
5;0.7005;0.6947
6;0.7955;0.794
7;0.8724;0.868
8;0.9252;0.9197
9;0.9392;0.9343
9;test;0.9068
