NumFeature;TrainingAccuracy;ValidationAccuracy
1;0.4874;0.4815
2;0.6164;0.6123
3;0.6915;0.6885
4;0.7231;0.7129
5;0.7745;0.763
6;0.814;0.7981
7;0.8261;0.8079
8;0.8555;0.8372
9;0.8671;0.8475
9;test;0.8374
