NumFeature;TrainingAccuracy;ValidationAccuracy
1;0.1794;0.1801
2;0.2182;0.2185
3;0.2018;0.2039
4;0.2679;0.2678
5;0.2842;0.2812
6;0.3185;0.3167
7;0.3662;0.3672
8;0.3682;0.3674
9;0.3778;0.3723
9;test;0.3676
