NumFeature;TrainingAccuracy;ValidationAccuracy;TestAccuracy
5;0.6575;0.6585;0.6511
10;0.7062;0.7062;0.7002
15;0.7299;0.73;0.7192
20;0.7485;0.7524;0.7382
25;0.7614;0.7599;0.7498
30;0.7718;0.7722;0.7594
35;0.775;0.7754;0.7623
